,postalCode,RestCount,afact,popsum,NP,RMSP,VALP,HINCP
0,10002,7,1.0,81410.0,1.0,3.0,700000.0,50000.0
1,10003,19,1.0,56024.0,1.0,3.0,896270.0,95984.5
2,10004,7,1.0,3089.0,1.0,3.0,1300000.0,155000.0
3,10005,1,1.0,7135.0,1.0,3.0,1300000.0,155000.0
4,10006,1,1.0,3011.0,1.0,3.0,1300000.0,155000.0
5,10007,5,1.0,6988.0,1.0,3.0,1226800.0,142190.0
6,10009,3,1.0,61347.0,1.0,3.0,740500.0,69372.5
7,10010,10,1.0,31834.0,1.0,3.0,876740.0,120651.75
8,10011,18,1.0,50984.0,1.0,3.0,1061300.0,124970.0
9,10012,9,1.0,24090.0,1.0,3.0,1300000.0,155000.0
10,10013,5,1.0,27700.0,1.0,3.0,1187200.0,135260.0
11,10014,10,1.0,31959.0,1.0,3.0,1296900.0,154610.0
12,10016,16,1.0,54183.0,1.0,3.0,863300.0,121203.75
13,10017,3,1.0,16575.0,1.0,3.0,850560.0,121727.0
14,10018,5,1.0,5229.0,1.0,3.0,990000.0,116000.0
15,10019,14,1.0,42870.0,1.0,3.091,990910.0,118821.0
16,10021,3,1.0,43631.0,1.0,4.0,1500000.0,142000.0
17,10022,12,1.0,31924.0,1.0,3.043,880890.0,122500.0
18,10023,3,1.0,60998.0,1.0,4.0,1000000.0,147000.0
19,10024,7,1.0,59283.0,1.0,4.0,1000000.0,147000.0
20,10025,9,1.0,94600.0,1.318,4.3180000000000005,729700.0,119470.74000000002
21,10026,2,1.0,34003.0,2.0,4.019,709170.0,50198.17
22,10027,4,1.0,59707.0,2.0,4.603,376290.0,56289.29
23,10028,4,1.0,45141.0,1.0,4.0,1500000.0,142000.0
24,10029,3,1.0,76003.0,1.0,4.0,650000.0,42400.0
25,10031,2,1.0,56438.0,2.0,5.0,150000.0,60430.0
26,10033,1,1.0,53926.0,2.0,4.0,110000.0,44400.0
27,10034,1,1.0,38908.0,2.0,4.0,110000.0,44400.0
28,10036,10,1.0,24711.0,1.0,3.0,990000.0,116000.0
29,10038,2,1.0,20300.0,1.0,3.0,1108600.0,121505.0
30,10044,1,1.0,11661.0,1.0,4.0,1500000.0,142000.0
31,10065,5,1.0,32270.0,1.0,4.0,1500000.0,142000.0
32,10069,1,1.0,5199.0,1.0,4.0,1000000.0,147000.0
33,10075,4,1.0,26121.0,1.0,4.0,1500000.0,142000.0
34,10128,2,1.0,60453.0,1.0,4.0,1466000.0,138016.0
35,10282,1,1.0,4783.0,1.0,3.0,1300000.0,155000.0
36,10301,1,1.0,39706.0,2.0,5.034,422720.0,71779.40000000001
37,10303,1,1.0,26337.0,2.0,5.0,420000.0,71300.0
38,10306,2,1.0,55909.0,2.0,6.0,523850.0,91648.7
39,10308,3,1.0,27357.0,2.0,6.0,550000.0,98500.0
40,10310,1,1.0,24962.0,2.0,5.0,420000.0,71300.0
41,10312,1,1.0,59304.0,2.0,6.0,550000.0,98500.0
42,10314,1,1.0,85510.0,2.0,5.696000000000001,475680.0,81113.59999999999
43,10451,4,1.0,45713.0,2.0,4.541,467340.0,48579.10000000001
44,10452,1,1.0,75371.00000000001,2.048,4.0,496376.00000000006,46913.6
45,10453,2,1.0,78309.00000000001,2.9840000000000004,4.016,425708.00000000006,45436.8
46,10454,1,1.0,37337.0,2.0,5.0,420000.0,49150.0
47,10456,1,1.0,86547.0,2.0,4.5360000000000005,545500.0,51613.95
48,10457,3,1.0,70496.0,2.483,4.425999999999998,506133.5,50049.8
49,10460,1,0.9990000000000001,57253.689000000006,1.9980000000000002,4.995,599955.0,58384.9
50,10461,1,1.0,50502.00000000001,2.0,5.4830000000000005,340552.5,59246.35
51,10462,4,1.0,75784.0,2.0,5.0,540480.0,63789.2
52,10468,1,1.001,76179.10300000003,2.155,5.224,405248.50000000006,61813.2
53,10470,1,1.0,15293.0,2.0,6.0,400000.0,75000.0
54,10472,2,1.0,66358.0,2.0,5.0,735000.0,68100.0
55,10474,1,1.0,12281.0,2.0,5.0,420000.0,49150.0
56,10502,2,1.0,5487.0,2.0,6.0,300000.0,80200.0
57,10504,1,1.0,7987.0,2.0,6.0,310000.0,73500.0
58,10507,2,1.0,6408.0,2.0,6.0,310000.0,73500.0
59,10512,2,1.0,25590.0,2.0,6.0,235000.0,70500.0
60,10520,1,1.0,12810.0,2.0,5.999999999999999,201100.0,59145.0
61,10528,2,1.0,12280.0,2.0,6.0,350000.0,92550.0
62,10530,1,1.0,12604.0,2.0,6.0,300000.0,80200.0
63,10538,3,1.0,16597.0,2.0,6.0,348100.0,92157.65
64,10541,1,1.0,26339.000000000004,2.0,6.0,238450.00000000003,70638.0
65,10543,3,1.0,20135.0,2.0,6.0,350000.0,92550.0
66,10547,1,1.0,7647.0,2.0,6.0,289320.0,70774.0
67,10549,2,1.0,16638.0,2.0,6.0,310000.0,73500.0
68,10560,1,1.0,4737.0,2.0,6.0,310000.0,73500.0
69,10562,1,1.0,31796.000000000004,2.0,6.000000000000001,207480.0,59986.0
70,10566,2,1.0,23570.0,2.0,6.0,200000.0,59000.0
71,10567,1,1.0,19929.0,2.0,6.0,203300.0,59435.0
72,10573,6,1.0,38352.0,2.0,6.0,350000.0,92550.0
73,10580,1,1.0,17208.0,2.0,6.0,350000.0,92550.0
74,10583,4,1.0,38981.999999999985,2.0,6.0,284660.0,77952.19999999997
75,10591,1,1.0,22540.0,2.0,6.0,255200.0,70702.4
76,10594,1,1.0,5117.0,2.0,6.0,200000.0,59000.0
77,10601,6,1.0,11376.0,2.0,6.0,300000.0,80200.0
78,10605,2,1.0,18126.0,2.0,6.0,300000.0,80200.0
79,10701,3,1.0,63393.0,2.0,6.0,280000.0,82000.0
80,10704,1,1.0,30165.0,2.0,6.0,280000.0,82000.0
81,10705,3,1.0,38777.0,2.0,6.0,280000.0,82000.0
82,10707,2,1.0,10097.0,2.0,6.0,260710.0,75505.70000000001
83,10708,1,1.0,21225.0,2.0,6.0,267790.0,77889.3
84,10710,4,1.0,25120.0,2.0,6.0,280000.0,82000.0
85,10801,2,1.0,40827.0,2.0,6.0,250000.0,71900.0
86,10803,2,1.0,12435.0,2.0,6.0,250000.0,71900.0
87,10901,3,1.0,23465.0,2.0,6.657,260118.5,79823.2
88,10918,1,1.0,11647.0,2.0,5.999999999999999,264750.0,77526.5
89,10920,1,1.0,8554.0,2.0,6.0,225000.0,70000.0
90,10925,1,1.0,4539.0,2.0,6.0,265000.0,77550.0
91,10927,2,1.0,11910.0,2.0,6.0,225000.0,70000.0
92,10928,2,1.0,4175.0,2.0,6.0,265000.0,77550.0
93,10930,1,1.0,8958.0,2.0,6.0,261594.0,76993.59999999999
94,10940,2,1.0,48418.0,2.0,6.0,239181.0,74988.09999999999
95,10941,1,1.0,13779.000000000002,2.0,6.000000000000001,239959.50000000003,75191.65000000001
96,10950,1,1.0,47226.0,2.0,6.0,265000.0,77550.0
97,10954,1,1.0,23045.0,2.0,6.0,264131.0,78185.2
98,10956,1,1.0,31521.0,2.0,6.039,225975.0,70351.0
99,10960,1,1.0,15093.0,2.0,6.0,279500.0,81400.0
100,10964,3,1.0,1472.0,2.0,6.0,279500.0,81400.0
101,10965,1,1.0,14791.0,2.0,6.0,279500.0,81400.0
102,10974,1,1.0,3152.0000000000005,2.0,6.9990000000000006,249975.00000000003,78991.00000000001
103,10989,1,1.0,9293.0,2.0,6.0,242603.5,73682.2
104,10990,2,1.0,20631.0,2.0,6.0,265000.0,77550.0
105,10994,1,1.0,7085.0,2.0,6.0,279500.0,81400.0
106,11004,1,1.0,14016.0,2.0,6.0,356500.0,68000.0
107,11021,2,1.0,17729.0,2.0,6.0,250000.0,68000.0
108,11030,1,1.0,17962.0,2.0,6.0,250000.0,68000.0
109,11050,3,1.0,30171.0,2.0,6.0,250000.0,68000.0
110,11101,4,1.0,25484.0,2.0,4.603,258315.0,71479.845
111,11103,1,1.0,38780.0,2.0,4.994999999999999,299475.0,74856.925
112,11105,4,1.0,36688.0,2.0,5.0,300000.0,74900.0
113,11106,3,1.0,38875.0,2.0,5.0,300000.0,74900.0
114,11109,1,1.0,3523.0,2.0,4.0,195000.0,66285.0
115,11201,10,1.0,51128.0,2.0,4.212,308276.0,95393.99
