postalCode,Longitude,Latitude,burrito,taco,Ratio of Burritos/Taco
10065,-73.963802,40.765326,,67.0,
11201,-73.992723,40.695471999999995,18.0,,
11237,-73.921609,40.704643,,44.0,
11559,-73.732344,40.611795,5.0,,
12866,-73.774821,43.075993,30.0,6.0,5.0
15931,-78.732605,40.483821999999996,60.0,,
1610,-71.807956,42.249010999999996,,28.0,
16830,-78.441626,41.023121,12.0,,
17033,-76.63068,40.27884,,55.0,
18034,-75.425567,40.548288,29.0,,
18052,-75.491844,40.658588,,42.0,
1901,-70.943394,42.463485999999996,12.0,,
19034,-75.206603,40.135875,,14.0,
19119,-75.21037199999999,40.069561,44.0,,
19963,-75.432364,38.903495,69.0,,
20707,-76.884527,39.101616,,42.0,
20737,-76.920047,38.959262,7.0,,
20814,-77.104177,38.999228,,39.0,
21128,-76.4461,39.401633000000004,,15.0,
21157,-76.99056,39.55512,,16.0,
21202,-76.609089,39.295835,62.0,,
21601,-76.06908,38.773948,13.0,,
21784,-76.9723,39.338198999999996,,14.0,
22041,-77.142525,38.846928999999996,,28.0,
22042,-77.194735,38.864751,,6.0,
2301,-71.038674,42.090314,,19.0,
23219,-77.43628000000001,37.541877,,50.0,
23222,-77.418908,37.581778,,56.0,
23451,-76.012395,36.86373,,8.0,
23690,-76.523574,37.225941,9.0,,
23860,-77.289149,37.286042,,10.0,
25311,-81.592292,38.351903,67.0,,
2601,-70.295573,41.651481,23.0,56.0,0.4107142857142857
27262,-80.04072,35.95602,24.0,,
27292,-80.27766,35.8257,13.0,28.0,0.4642857142857143
27545,-78.483413,35.787687,,2.0,
28078,-80.85258,35.41404,20.0,30.0,0.6666666666666666
28117,-80.81067900000001,35.586807,20.0,,
2893,-71.516302,41.692019,,46.0,
2906,-71.397886,41.837825,81.0,,
2908,-71.449537,41.847393,70.0,,
29209,-80.93431700000001,33.966947,1.0,,
29212,-81.19494,34.081140000000005,,2.0,
29407,-80.010928,32.800052,,1.0,
29615,-82.312139,34.868789,97.0,,
29640,-82.589822,34.830936,,47.0,
29910,-80.872324,32.259699,19.0,,
30004,-84.296757,34.122744,34.0,,
30066,-84.505267,34.036122,62.0,,
30093,-84.17996600000001,33.905578999999996,8.0,,
30097,-84.141816,34.025741,117.0,,
30189,-84.563188,34.126928,37.0,,
30346,-84.344192,33.927811,,73.0,
32223,-81.624997,30.158207,,41.0,
32225,-81.50107,30.348896000000003,21.0,,
32836,-81.507039,28.427503,,24.0,
32839,-81.40350699999999,28.487458,,36.0,
33033,-80.432291,25.494244000000002,5.0,,
33301,-80.129547,26.12025,62.0,,
33418,-80.14433000000001,26.855526,,101.0,
33458,-80.116253,26.935471000000003,,18.0,
33480,-80.047448,26.717031,,60.0,
33759,-82.718245,27.979516999999998,38.0,,
33823,-81.80445999999999,28.072406,,37.0,
34668,-82.70063,28.303686,,54.0,
34689,-82.747935,28.143815999999998,,5.0,
34990,-80.29247,27.166551000000002,,72.0,
35007,-86.821286,33.241465000000005,,27.0,
35957,-86.14806,34.1481,11.0,,
36092,-86.193776,32.53204,13.0,,
37069,-86.895944,35.990255,,14.0,
37207,-86.773002,36.222188,,7.0,
38059,-89.267273,36.11424,20.0,,
3820,-70.91364,43.18566,,1.0,
38671,-89.993398,34.974697,3.0,,
38841,-88.989,34.347359999999995,20.0,,
40076,-85.06148,38.149878,10.0,,
40202,-85.75070600000001,38.256394,,50.0,
40213,-85.716074,38.184398,78.0,,
40517,-84.48485,37.979479,16.0,,
41042,-84.64828100000001,38.986125,11.0,,
42633,-84.845607,36.83413,4.0,,
42718,-85.462912,37.461290999999996,7.0,,
43219,-82.931203,40.005201,,35.0,
43221,-83.068936,40.014525,12.0,,
44720,-81.43344,40.89732,26.0,,
45245,-84.277672,39.069523,41.0,,
45320,-84.671102,39.733814,3.0,,
45690,-83.008351,39.124116,26.0,,
46131,-86.054873,39.488252,51.0,,
46203,-86.104228,39.743419,,13.0,
46208,-86.169262,39.820704,,98.0,
46222,-86.212094,39.791182,,24.0,
46240,-86.128201,39.905944,,25.0,
46311,-87.508227,41.487320000000004,,23.0,
48108,-83.719353,42.240869,,17.0,
48855,-83.917238,42.620163,12.0,,
49509,-85.70616,42.88386,34.0,,
52246,-91.56006500000001,41.654177000000004,1.0,,
53562,-89.52492,43.11528,,19.0,
5401,-73.22778000000001,44.48724,,42.0,
56301,-94.209162,45.531141,6.0,,
59404,-111.352773,47.51092,,24.0,
60108,-88.080804,41.950862,,21.0,
60110,-88.263423,42.125226,23.0,,
60126,-87.94058000000001,41.893914,,7.0,
6035,-72.796813,41.953412,,18.0,
