address,categories,city,cuisines,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,province,websites,Categories
55 E Grand Ave,"Bistros,Restaurants,New American Restaurant,Wine Bar,Vegetarian / Vegan Restaurant",Chicago,nan,us/ontariostreet/chicago/55egrandave/1818115213,41.891575,-87.62621800000002,nan,11.3,11.3,"Pico de gallo, salsa verde, cilantro sour cream",Blackened Mahi Mahi Tacos,Seasons 52,60611,,,Ontario Street,http://seasons52.com,Taco
901 Arnold Commons Dr,"Restaurants,Bars Clubs,Bars Pubs,Tex-Mex Restaurant",Arnold,"Traditional American,Mexican",us/mo/arnold/901arnoldcommonsdr/379971047,,,nan,,,nan,Top Shelf Tacos (2),Chili's Grill & Bar,63010,,,MO,nan,Taco
127 Elm St,"American Restaurant,Bar & Grills,Restaurants",Hatfield,nan,us/ma/hatfield/127elmst/1715653076,42.359764,-72.62583000000002,http://www.yellowpages.com/hatfield-ma/mip/grill-n-chill-inc-480188556/menu,11.95,11.95,"Three soft shell tacos stuffed with seasoned crispy fried chicken and ranch, with cheese, lettuce, tomato, and sour cream on the side. Served with southwest rice.",Crispy Chicken Tacos,The Grill 'n Chill,1038,25.0,40.0,MA,http://www.hatfieldgrillnchill.com,Taco
20210 Henderson Rd,"Restaurant,Bar,Bar and Restaurant",Cornelius,Caterers,us/nc/cornelius/20210hendersonrd/1781051205,35.48729,-80.88794,http://www.yellowpages.com/cornelius-nc/mip/rusty-rudder-2722106/menu,10.95,10.95,Fried shrimp tossed in a honey sriracha lime sauce. Topped with fresh peach salsa and green tomato slaw,Honey Sriracha Shrimp Taco,Rusty Rudder,28031,25.0,40.0,NC,http://therustyrudder.net,Taco
66 Pearl St,Restaurant,New York,"Mexican, Latin American",us/ny/newyork/66pearlst/1054069874,40.703529,-74.010898,nan,13.0,13.0,"Chipotle chicken, onion, tomato, sour cream and lettuce.",Tinga Taco,La Dama Nyc,10004,0.0,30.0,NY,http://www.ladamanyc.com/,Taco
4002 N Lamar Blvd,Mexican Restaurant,Austin,nan,us/tx/austin/4002nlamarblvd/-1001623013,,,nan,2.79,2.79,nan,Barbacoa Taco,Taco Shack,78756,,,TX,nan,Taco
1625 Memorial Dr,"Mexican Restaurant,Latin American Restaurants,Caterers,Restaurants,Mexican Restaurants",Chicopee,Latin American Restaurants,us/ma/chicopee/1625memorialdr/1624158003,42.202374,-72.57176,nan,9.95,9.95,"Grilled chicken, fajitas, rice, black beans. Cilantro crema, green peppers, onions",Frontera Burrito,Frontera Grill,1020,25.0,40.0,MA,http://fronterafreshmex.com,Burrito
1743 Lexington Ave,Mexican Restaurant,New York,nan,us/nyc/newyork/1743lexingtonave/-289399912,,,nan,8.5,8.5,"Flour tortilla stuffed with rice, beans, cheese, lettuce, guacamole, pico de gallo and sour cream",Chicken Chipotle Burrito,Taqueria Guadalupe,10029,25.0,40.0,Nyc,nan,Burrito
3458 Shoreline Hwy 1,Seafood Restaurant,Stinson Beach,nan,us/ca/stinsonbeach/3458shorelinehwy1/1265196406,37.89857514,-122.63889170000002,nan,10.0,10.0,"Organic eggs, chilies, cilantro, potatoes and jack cheese, corn tortilla and salsa roja. Choice of fruit or home fries",Breakfast Burrito,Sand Dollar Restaurant And Bar,94970,25.0,40.0,CA,http://stinsonbeachrestaurant.com,Burrito
119 S Main St,"American Restaurant,Restaurants,Coffeehouses,Latin American Restaurants,American Restaurants",Hendersonville,Traditional American,us/nc/hendersonville/119smainst/-970205978,35.314141,-82.459649,http://www.citysearch.com/profile/menu/672784200?singlePlatformId=the-never-blue,,,nan,Taco Cubano,Never Blue,28792,25.0,40.0,NC,http://theneverblue.com,Taco
514 E Haley St,Mexican Restaurant,Santa Barbara,Mexican Restaurants,us/ca/santabarbara/514ehaleyst/1060829162,34.42244654,-119.6893629,nan,6.15,6.15,Homemade chile relleno with lettuce and tomatoes,Chile Relleno Burrito,Lito's Mexican Food,93103,0.0,25.0,CA,http://litosmexfoodsb.com,Burrito
3401 Dale Rd,"Restaurants,Bars Pubs,Bars Clubs,Bars & Clubs,Bars & Pubs,Tex-Mex Restaurant",Modesto,"Traditional American,Mexican,Hamburgers,Southwestern",us/ca/modesto/3401dalerd/379971047,37.689879,-121.050352,http://www.citysearch.com/profile/menu/36202581?singlePlatformId=chilis-grill--bar-214,,,nan,Top Shelf Tacos (2),Chili's Grill & Bar,95356,25.0,40.0,CA,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJOHrr-3mbTh9i2P30ao4HEJCHkD-quPZceIHMPyiayaKP0RovKMYJF7yUBXZo-GyHaH-2OWuOm5D_0aabohdQYebMsRVbQ0Ls6DaKaCh38Fuj91Kmpy-pJJY3kYmke8kJ-rb29qgvURRjoP-h61RHxKl8yVi39QsekaHw2bx1TkM6xj-YM4HtsV9WQ5NPEiai6iMxbcPeLkGswooKCQ6FqJS7WZ2RKfI-_CsEBNrmeVwkMwlvZIZ1-fiakdAtiXX_7_9HwR0qDWsxxuTeILOTk4zTzAZcundMF5GwRP7eTzJYP9HBVX6K1KC422twp0m2j6PJAmVx87EM3RmheBW8dN8ecQEOxT_NJjmqIRiG9Tg&placement=listing_profile&cs_user=unknown&cs_session=411d41869b78ac495f697ad5b3a75d15ae84c181,Taco
1359 Locust St,Mexican Restaurant,Walnut Creek,nan,us/ca/walnutcreek/1359locustst/-619858707,,,nan,6.9,6.9,nan,Giant Vegetarian Burrito,Taqueria Mexican Grill,94596,,,CA,nan,Burrito
3610 S Riverside Ave,Fast Food Restaurant,Bloomington,nan,us/ca/bloomington/3610sriversideave/554191587,34.03733719,-117.3673485,nan,,,nan,Loaded Breakfast Burrito,Carl's Jr.,92316,0.0,25.0,CA,http://www.carlsjr.com,Burrito
572 N Indian Canyon Dr,"New American Restaurant and Caf,Hotel,New American Restaurant,Café",Palm Springs,nan,us/palmspringsmunicipalairpo/palmsprings/572nindiancanyondr/-931713810,,,nan,,,"Pico de gallo, cabbage, salsa roja, radish, chipotle cream, cotija cheese, southwest salad",Mojo Shrimp Tacos,Purple Palm,92262,50.0,55.0,Palm Springs Municipal Airpo,"http://colonypalmshotel.com,http://colonypalmshotel.com/dining.php",Taco
5310 Windward Pkwy,Cuban Restaurant,Alpharetta,nan,us/ga/alpharetta/5310windwardpkwy/-1320092582,,,nan,11.95,11.95,nan,Fried Oyster Tacos,Mambo Jambo Cafe,30004,,,GA,http://mambojambocafe.com,Taco
1826 S Georgia St,Mexican Restaurant,Amarillo,nan,us/tx/amarillo/1826sgeorgiast/-998811819,,,nan,,,nan,Bean Burrito,Taco Villa,79109,,,TX,http://tacovilla.net,Burrito
348 1st Ave,"Mexican Restaurant,Taco Place",New York,nan,us/manhattan/newyork/3481stave/111973510,,,nan,,,nan,Tacos De Camarones Fritos,¡vamos!,10010,25.0,40.0,Manhattan,nan,Taco
1900 N 2nd St,Mexican Restaurant,Flagstaff,nan,us/az/flagstaff/1900n2ndst/-911725115,,,nan,7.15,7.15,nan,Shredded Chicken Taco,La Fonda Mexican Resturaunt,86004,,,AZ,nan,Taco
6690 Mission Gorge Rd,"Mexican Restaurant,Mexican Restaurant Allied Gardens",San Diego,nan,us/ca/sandiego/6690missiongorgerd/1924832119,,,nan,,,"Rice, whole beans, cheese and lettuce. wrapped in a flour tortilla and covered with ranchera sauce. guacamole, and sour cream.",Expresso Vegetarian Burrito,Emiliano's Mexican Restaraunt,92120,25.0,40.0,CA,nan,Burrito
142 Harvard Dr SE,"Restaurants,Catering,Restaurant University Heights,Restaurant",Albuquerque,Mexican,us/nm/albuquerque/142harvarddrse/-935552209,35.079381,-106.620445,nan,,,nan,Taco Plate,El Patio De Albuquerque,87106,,,NM,nan,Taco
5229 N Navarro St,"Burger Joint,Restaurant",Victoria,nan,us/tx/victoria/5229nnavarrost/-230519289,28.84487573,-96.99973136,nan,,,"Crunchy corn tortilla, spicy beef, american cheese, shredded lettuce and taco sauce..",Taco,Jack In The Box,77904,0.0,25.0,TX,https://www.jackinthebox.com/locations/4780,Taco
317 S 17th St,Mexican Restaurant,Lincoln,nan,us/ne/lincoln/317s17thst/110355186,,,nan,15.79,15.79,nan,Beef Burritos,Tico's,68508,0.0,25.0,NE,http://www.ticosoflincoln.com,Burrito
701 E Stassney Ln,"Tex-Mex Restaurant,Seafood Restaurant,American Restaurant,Tex-Mex Restaurant South Congress,American Restaurant, Sports Bar, and Seafood Restaurant South Congress,Sports Bar",Austin,nan,us/tx/austin/701estassneyln/379971047,30.198598,-97.76504,nan,,,nan,Ranchero Chicken Tacos,Chili's Grill & Bar,78745,25.0,40.0,TX,http://chilis.com,Taco
514 E Haley St,Mexican Restaurant,Santa Barbara,Mexican Restaurants,us/ca/santabarbara/514ehaleyst/1060829162,34.42244654,-119.6893629,nan,7.3,7.3,"Beans, rice, cheese, guacamole, sour cream, lettuce and tomatoes",Deluxe Veggie Burrito,Lito's Mexican Food,93103,0.0,25.0,CA,http://litosmexfoodsb.com,Burrito
44 Route 303,Mexican Restaurant,Valley Cottage,nan,us/ny/valleycottage/44route303/1212624863,,,nan,16.0,16.0,nan,Cali Burrito,Cinco de Mayo,10989,25.0,40.0,NY,http://cincodemayovalleycottage.com,Burrito
4401 Clayton Rd,"Fast Food Restaurant,Mexican Restaurant",Concord,nan,us/ca/concord/4401claytonrd/-981164808,,,nan,,,Lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.,Classic Baja Fish Taco,El Pollo Loco,94521,,,CA,nan,Taco
